342948871,2020-11-20 23:59:59,ross,@rrrruthh what. what do you put cups on? or use as a foot rest? coffee tables are essential
1242986005927546882,2020-11-20 23:59:57,_ramon_m_,@Coffee_doki @FireMario456 me lon
918095796452589569,2020-11-20 23:59:55,clarissa explains it all 🏳️‍🌈😷,"@MohammedWasity Chuck your bleep off the roof, grab a coffee with your reg mate from urology, catch up on all the p… https://t.co/N23tk9YHzQ"
1193535957041057792,2020-11-20 23:59:55,Sam Chappelle,RT @ch000ch: coffee prices are out of control https://t.co/gEiQlqzbPm
742145971,2020-11-20 23:59:48,zzzoro 💤,"@besphr That's also a coffee/caffeine thing, so if you're lact int, it's a double whammy🙃"
77812830,2020-11-20 23:59:45,GLSEN Washington,"RT @Laurelista: good morning to trans people and trans people only

How are you feeling? You should drink some water. Or better yet, coffee…"
1291594651221159936,2020-11-20 23:59:44,elly 🍙,@stalecheezbread i wouldve but they gave us coffee cards bc my retainer kept getting messed up and they'd have to reorder it
1233268531929600000,2020-11-20 23:59:44,Coffee and Tattoos,Every day I wake up grateful I have more to do than wait on things to happen. If it weren't for caffeine and my ske… https://t.co/zw2IQSKAmL
1267429775863189505,2020-11-20 23:59:43,puppy boy 🌙,"hot chocolate &gt; coffee
idc how old you are hot chocolate will always be better then coffee"
1224474760731668480,2020-11-20 23:59:41,Hank,RT @AnneWheaton: My winter guilty pleasure is a hot chai latte made with almond milk from Coffee Bean &amp; Tea Leaf but with a lockdown for LA…
1278521317730459650,2020-11-20 23:59:40,Ashley Vanderbeck,My blood? Coffee. My heart? Fluttering. My mice? Alive.
1315976236674551808,2020-11-20 23:59:39,angst (void/it/he/they),"RT @eggtoebroes: #xenogender this is my first time making one of these so please dont bully me i just really wanted to make one

voidgender…"
883948038670110720,2020-11-20 23:59:39,⋆Carpe_Noctem☾ᴮᴱ⁷,RT @monipersona: incase anyone needs motivation for streaming 🥺 https://t.co/8n0ozaDuJX
872137401547845632,2020-11-20 23:59:38,Cris Thomas Z 🇳🇴🇳🇴🇳🇴,@ElfieGoldbergi1 I love fresh coffee in the morning.
1267776711237808128,2020-11-20 23:59:37,The rose Amongthorns,"RT @RosannaPhillip: True confessions with my afternoon coffee💕
Any to share??😊

@ArtKetterhagen1 @LyndaPole @LisaRacer2 @Peatches66 @andthe…"
1233843459640958976,2020-11-20 23:59:36,fel,all hail the coffee gods
